title,artist
Last Night,Morgan Wallen
Flowers,Miley Cyrus
FLOWER,JISOO
Fast Car,Luke Combs
Thank God I Do,Lauren Daigle
Like Crazy (Deep House Remix),Jimin
Like Crazy (UK Garage Remix),Jimin
Like Crazy (Instrumental),Jimin
Like Crazy (English Version),Jimin
Calm Down,Rema & Selena Gomez
Like Crazy,Jimin
You Say,Lauren Daigle
Anti-Hero,Taylor Swift
Heart Like A Truck,Lainey Wilson
Eyes Closed,Ed Sheeran
Thinkin’ Bout Me,Morgan Wallen
Players,Coi Leray
Master of War,Peyton Parrish
Thought You Should Know,Morgan Wallen
All Eyes On Me,JISOO
God's Country,Blake Shelton
Thank God,Kane Brown & Katelyn Brown
TRUSTFALL,P!nk
Red Ruby Da Sleeze (Sped Up) [feat. Xxtristanxo & Speed Radio],"Nicki Minaj, Xxtristanxo & Speed Radio"
Growin' Up and Gettin' Old,Luke Combs
Love You Anyway,Luke Combs
Rock and a Hard Place,Bailey Zimmerman
Fighting Myself,LINKIN PARK
Kill Bill,SZA
72 Seasons,Metallica
labour,Paris Paloma
Rescue,Lauren Daigle
Favorite Song,Toosii
I Ain't Worried,OneRepublic
wait in the truck,HARDY & Lainey Wilson
5 Leaf Clover,Luke Combs
"Set Me Free, Pt. 2",Jimin
Unstoppable,Sia
Face-off,Jimin
Wasted On You,Morgan Wallen
Jesus and Jesse James,Brandon Davis
One Thing At A Time,Morgan Wallen
NASTY,Russ
Alone,Jimin
Sure Thing,Miguel
NEED A FAVOR,Jelly Roll
It Was Always You,Daisy Jones
Lavender Haze (Acoustic Version),Taylor Swift
Chasin' You,Morgan Wallen
Something in the Orange (Z&E's Version),Zach Bryan
Interlude : Dive,Jimin
As It Was,Harry Styles
VOID,Melanie Martinez
Waiting,Lauren Daigle
All Of The Girls You Loved Before,Taylor Swift
In Jesus Name (God Of Possible),Katy Nichole
Hold On To Me,Lauren Daigle
Tennessee Whiskey,Chris Stapleton
Everywhere,Fleetwood Mac
Handle On You,Parker McCollum
You Raise Me Up,Josh Groban
Son Of A Sinner,Jelly Roll
You Proof,Morgan Wallen
Sounds Like Something I'd Do,Drake Milligan
Made You Look,Meghan Trainor
"Boy's a liar, Pt. 2",PinkPantheress & Ice Spice
Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
Unholy,Sam Smith & Kim Petras
Hold My Hand,Lady Gaga
Red Ruby Da Sleeze (Sped Up) [feat. Xxtristanxo & Speed Radio],"Nicki Minaj, Xxtristanxo & Speed Radio"
Die For You (Remix),The Weeknd & Ariana Grande
Dancin’ In The Country,Tyler Hubbard
Red Ruby Da Sleeze,Nicki Minaj
Out of My Head,Fastball
Life's Incredible Again,Michael Giacchino
Lost,LINKIN PARK
Escapism.,RAYE & 070 Shake
Cowgirls (feat. ERNEST),Morgan Wallen
That’s Not How This Works (feat. Dan + Shay),Charlie Puth
I'm Good (Blue),David Guetta & Bebe Rexha
Gratitude,Brandon Lake
I Wrote The Book,Morgan Wallen
Mother,Meghan Trainor
Bloody Mary,Lady Gaga
ICU,Coco Jones
God Is In This Story,Katy Nichole & Big Daddy Weave
"Going, Going, Gone",Luke Combs
10:35,Tiësto & Tate McRae
Eyes Closed,Ed Sheeran
This Is Our God,Phil Wickham
golden hour,JVKE
TQG,KAROL G & Shakira
Love Makes You Blind,Kaylee Rose
Lavender Haze,Taylor Swift
Look At Us Now (Honeycomb),Daisy Jones & The Six
Just Pretend,Bad Omens
BESO,ROSALÍA & Rauw Alejandro
"Forever and Ever, Amen",Randy Travis
Beat You There,Will Dempsey
Bonjour,Zoey Dollaz
